book_id,studio,total_score,reasoning
the-sun-also-rises__ernest-hemingway__1926,Target Studio,95.0,Prestige literary property with strong festival appeal; highest raw score in the pool.
winnie-the-pooh__a-a-milne__1926,Target Studio,90.0,Massive name recognition and family-franchise potential.
the-metamorphosis__franz-kafka__1915,Target Studio,87.0,Distinctive high-concept premise with arthouse and genre crossover potential.
frankenstein__mary-shelley__1818,Target Studio,92.0,"Iconic IP, proven franchise track record, strong visual adaptability."
dracula__bram-stoker__1897,Target Studio,88.0,Enduring horror brand with built-in audience and sequel potential.
the-picture-of-dorian-gray__oscar-wilde__1890,Target Studio,86.0,Strong thematic hook and prestige positioning; moderate scale.
the-adventures-of-sherlock-holmes__arthur-conan-doyle__1892,Target Studio,85.0,Franchise-ready detective IP with wide audience recognition.
the-time-machine__h-g-wells__1895,Target Studio,83.0,Foundational sci-fi concept with effects-driven spectacle appeal.
the-call-of-the-wild__jack-london__1903,Target Studio,80.0,Four-quadrant adventure with recent adaptation precedent.
peter-pan__j-m-barrie__1911,Target Studio,78.0,Family franchise with high name recognition; crowded field.
a-christmas-carol__charles-dickens__1843,Target Studio,76.0,Seasonal evergreen with repeat-adaptation demand.
pride-and-prejudice__jane-austen__1813,Target Studio,74.0,Reliable prestige romance audience; modest budget profile.
moby-dick__herman-melville__1851,Target Studio,71.0,"Epic scale and brand recognition, but high production cost and risk."
the-great-gatsby__f-scott-fitzgerald__1925,Target Studio,69.0,Prestige literary brand, recently adapted; limited franchise runway.
the-wonderful-wizard-of-oz__l-frank-baum__1900,Target Studio,55.0,Strong recognition but heavily worked territory; lower differentiation.
