rank,pd_date,book_id,title,author,publication_year,total_score,score_reasoning,confidence,rule_applied,flags,years_away
1,2032-01-01,mephisto__mann-klaus__1936,Mephisto,"Mann, Klaus",1936,54.75,"A morally complex, visually rich period drama that captures noir's themes of corruption and compromise, but leans more toward literary tragedy than plot-driven thriller, with limited franchise appeal.",uncertain,pub+95,renewal_era,6
2,2033-01-01,electre__giraudoux-jean__1937,Electre,"Giraudoux, Jean",1937,49.5,"While Electre's dark tone and small-town moral corruption align with the mandate's mood and setting, its classical tragic structure and lack of noir-thriller mechanics make it a moderate fit for A24's live-action film mandate.",uncertain,pub+95,renewal_era,7
3,2027-01-01,bauern-bonzen-und-bomben__fallada-hans__1931,"Bauern, Bonzen und Bomben","Fallada, Hans",1931,39,Uncertainty about this specific book's plot severely limits confidence in scoring; Fallada's known work explores Weimar social themes but unconfirmed alignment with noir thriller mandate.,uncertain,pub+95,renewal_era,1
4,2034-01-01,jugend-ohne-gott__horvath-odon-von__1938,Jugend ohne Gott,"Horváth, Ödön von",1938,34,"This is a profound but deliberately non-genre-driven literary work that fundamentally misaligns with the noir thriller mandate; while thematically dark and visually adaptable, it lacks the mystery/crime elements, contemporary protagonist appeal, and franchise potential A24 would seek.",uncertain,pub+95,renewal_era,8
5,2034-01-01,die-kapuzinergruft-roman__roth-joseph__1938,Die Kapuzinergruft. Roman,"Roth, Joseph",1938,32.5,This early-20th-century literary historical novel about imperial decline fundamentally misaligns with the mandate for a dark noir thriller centered on uncovering secrets in a small town.,uncertain,pub+95,renewal_era,8
6,2028-01-01,radetzkymarsch__roth-joseph__1932,Radetzkymarsch,"Roth, Joseph",1932,31.75,"Radetzkymarsch is a literary historical epic fundamentally misaligned with A24's noir thriller mandate—it lacks investigative plotting, contemporary sensibility, and contained-budget feasibility.",uncertain,pub+95,renewal_era,2
7,2027-01-01,vol-de-nuit__saint-exupery-antoine-de__1931,Vol de nuit,"Saint-Exupéry, Antoine de",1931,30.75,A celebrated literary classic fundamentally misaligned with the noir thriller mandate—beautiful but wrong for the studio's genre and audience expectations.,uncertain,pub+95,renewal_era,1
8,2027-01-01,die-geschwister-von-neapel__werfel-franz__1931,Die Geschwister von Neapel,"Werfel, Franz",1931,30,"This obscure Werfel title shows poor fit against the noir-thriller mandate, with low name recognition and unconfirmed genre alignment making it a weak acquisition target for A24's profile.",uncertain,pub+95,renewal_era,1
9,2035-01-01,bambi-s-children__salten-felix__1939,Bambi's Children,"Salten, Felix",1939,29.25,Bambi's Children is a foundational genre mismatch—a children's pastoral fable that shares almost nothing with the noir-thriller mandate and lacks the thematic sophistication A24 targets.,uncertain,pub+95,renewal_era,9
10,2028-01-01,kleiner-mann-was-nun__fallada-hans__1932,"Kleiner Mann, was nun?","Fallada, Hans",1932,28.75,"A humanist Depression-era social novel that fundamentally mismatches the noir thriller mandate—strong setting/budget fit cannot overcome genre and narrative incompatibility.""}",uncertain,pub+95,renewal_era,2
