book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
pride-and-prejudice__austen-jane__1813,Pride and Prejudice,"Austen, Jane",1817,false,1813,gutenberg+openlibrary,https://www.gutenberg.org/ebooks/1342,en,merged from 2 source rows (gutenberg+openlibrary); publication year via Open Library (earliest edition found; not independently verified); pd_basis=pub_year<=1930
dracula__stoker-bram__1897,Dracula,"Stoker, Bram",1912,false,1897,gutenberg+openlibrary,https://www.gutenberg.org/ebooks/345,en,"merged from 3 source rows (gutenberg+openlibrary); publication year via Open Library (earliest edition found; not independently verified); author death year from Wikidata (Q36184); PD via life+70 rule (death year 1912 + 71 <= 2026), independent of publication year; pd_basis=pub_year<=1930"
alice-s-adventures-in-wonderland__carroll-lewis__1865,Alice's Adventures in Wonderland,"Carroll, Lewis",1898,false,1865,gutenberg+openlibrary,https://openlibrary.org/works/OL138052W,en,"merged from 3 source rows (gutenberg+openlibrary); Open Library match discarded: returned 1800, which predates author's birth year (1832) -- likely a mismatched search result; needs manual research; author death year from Wikidata (Q38082); PD via life+70 rule (death year 1898 + 71 <= 2026), independent of publication year; pd_basis=pub_year<=1930"
a-christmas-carol__dickens-charles__1843,A Christmas Carol,"Dickens, Charles",1870,false,1843,openlibrary,https://openlibrary.org/works/OL32466W,en,"merged from 2 source rows (openlibrary); author death year from Wikidata (Q5686); PD via life+70 rule (death year 1870 + 71 <= 2026), independent of publication year; pd_basis=pub_year<=1930"
romeo-and-juliet__shakespeare-william__1595,Romeo and Juliet,"Shakespeare, William",1616,false,1595,gutenberg+openlibrary,https://www.gutenberg.org/ebooks/1513,en,"merged from 2 source rows (gutenberg+openlibrary); publication year via Open Library (earliest edition found; not independently verified); pd_basis=pub_year<=1930; sources disagree on publication_year: ['1595', '1597'], kept '1595'"
hamlet__shakespeare-william__1603,Hamlet,"Shakespeare, William",,false,1603,openlibrary,https://openlibrary.org/works/OL9170454W,en,merged from 1 source rows (openlibrary); pd_basis=pub_year<=1930
macbeth__shakespeare-william__1508,Macbeth,"Shakespeare, William",,false,1508,openlibrary,https://openlibrary.org/works/OL258902W,en,merged from 1 source rows (openlibrary); pd_basis=pub_year<=1930
othello__shakespeare-william__1622,Othello,"Shakespeare, William",,false,1622,openlibrary,https://openlibrary.org/works/OL258850W,en,merged from 1 source rows (openlibrary); pd_basis=pub_year<=1930
king-lear__shakespeare-william__1608,King Lear,"Shakespeare, William",,false,1608,openlibrary,https://openlibrary.org/works/OL259026W,en,merged from 1 source rows (openlibrary); pd_basis=pub_year<=1930
the-merchant-of-venice__shakespeare-william__1600,The Merchant of Venice,"Shakespeare, William",,false,1600,openlibrary,https://openlibrary.org/works/OL258758W,en,merged from 1 source rows (openlibrary); pd_basis=pub_year<=1930
a-midsummer-night-s-dream__shakespeare-william__1600,A Midsummer Night's Dream,"Shakespeare, William",1616,false,1600,gutenberg+openlibrary,https://www.gutenberg.org/ebooks/1514,en,merged from 2 source rows (gutenberg+openlibrary); publication year via Open Library (earliest edition found; not independently verified); pd_basis=pub_year<=1930
jane-eyre__bronte-charlotte__1847,Jane Eyre,"Brontë, Charlotte",1855,false,1847,openlibrary,https://openlibrary.org/works/OL1095427W,en,"merged from 1 source rows (openlibrary); author death year from Wikidata (Q127332); PD via life+70 rule (death year 1855 + 71 <= 2026), independent of publication year"
wuthering-heights__bronte-emily__1846,Wuthering Heights,"Brontë, Emily",1848,false,1846,gutenberg,https://www.gutenberg.org/ebooks/768,en,merged from 1 source rows (gutenberg); publication year via Open Library (earliest edition found; not independently verified)
oliver-twist__dickens-charles__1822,Oliver Twist,"Dickens, Charles",1870,false,1822,openlibrary,https://openlibrary.org/works/OL8193478W,en,"merged from 2 source rows (openlibrary); author death year from Wikidata (Q5686); PD via life+70 rule (death year 1870 + 71 <= 2026), independent of publication year; pd_basis=pub_year<=1930"
david-copperfield__dickens-charles__1800,David Copperfield,"Dickens, Charles",1870,false,1800,gutenberg+openlibrary,https://www.gutenberg.org/ebooks/766,en,"merged from 2 source rows (gutenberg+openlibrary); Open Library match discarded: returned 1800, which predates author's birth year (1812) -- likely a mismatched search result; needs manual research; pd_basis=pub_year<=1930"
