book_id,pd_status,reasoning,rule_applied,flags,verified_date
frankenstein__mary-shelley__1818,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
dracula__bram-stoker__1897,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
the-picture-of-dorian-gray__oscar-wilde__1890,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
the-adventures-of-sherlock-holmes__arthur-conan-doyle__1892,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
the-time-machine__h-g-wells__1895,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
the-call-of-the-wild__jack-london__1903,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
peter-pan__j-m-barrie__1911,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
a-christmas-carol__charles-dickens__1843,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
pride-and-prejudice__jane-austen__1813,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
moby-dick__herman-melville__1851,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
the-great-gatsby__f-scott-fitzgerald__1925,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
the-sun-also-rises__ernest-hemingway__1926,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
winnie-the-pooh__a-a-milne__1926,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
the-metamorphosis__franz-kafka__1915,uncertain,Sourcing incomplete; cannot confirm term.,life+70,disputed_death_year,2026-08-11
