book_id,studio,total_score,reasoning,book_summary,genre_fit_score,genre_fit_reasoning,visual_story_adaptability_score,visual_story_adaptability_reasoning,audience_fit_score,audience_fit_reasoning,franchise_potential_score,franchise_potential_reasoning,budget_scale_fit_score,budget_scale_fit_reasoning,name_recognition_score,name_recognition_reasoning
uncle-tom-s-cabin__stowe-harriet__1852,A24,35.0,"Uncle Tom's Cabin has exceptional name recognition and appropriate budget scale for A24, but is fundamentally a 19th-century abolitionist social drama, not a dark noir thriller about an insider uncovering secrets in a small town, making it a poor fit for this specific mandate.","Uncle Tom's Cabin is a seminal 1852 anti-slavery novel following the experiences of enslaved African Americans, particularly the titular Uncle Tom, across multiple plotlines in the American South and North. The novel is a social drama centered on themes of slavery, morality, faith, and abolition rather than a noir thriller.",5,"This is a 19th-century social drama and abolitionist work, fundamentally misaligned with noir thriller conventions.",60,"The novel contains visceral, emotionally intense scenes with strong visual potential, but lacks the shadowy, morally ambiguous aesthetic typically associated with dark noir.",35,"While thematically relevant to A24's socially conscious audience, the protagonist is an enslaved man whose arc centers on suffering and faith rather than the morally complex insider unraveling a mystery that appeals to cinephile tastes.",15,The narrative is largely self-contained with limited scope for sequels or expanded universe exploration beyond the original story's scope.,75,A small-town Southern setting with period costumes and modest production scope aligns well with A24's contained indie film budget range.,90,Uncle Tom's Cabin is one of the most historically significant and widely recognized American novels ever published.
papers-of-john-c-calhoun__calhoun-john-c__unk,A24,5.25,"This is a historical document collection, not a narrative work, and wholly incompatible with A24's mandate for a dark noir thriller.","Not confidently recognized. ""Papers of John C. Calhoun"" appears to be a historical collection of documents and correspondence from the 19th-century American statesman and political theorist John C. Calhoun (1782-1850), rather than a narrative fiction work. This is a primary-source archival compilation, not a novel or story suitable for adaptation.",5,"This is a historical document collection, not a noir thriller or any narrative fiction.",10,Academic papers and historical correspondence lack the visual narrative structure needed for cinematic adaptation.,5,A collection of 19th-century political documents has no appeal to A24's 18-34 cinephile audience as an 'insider' protagonist drama.,0,A historical archive has no world-building or sequel potential.,5,The small-town setting requirement doesn't apply to an archival non-fiction text.,20,"John C. Calhoun is historically significant to scholars, but this papers collection is obscure to general audiences."
the-small-house-at-allington__trollope-anthony__1864,A24,19.25,"A Victorian romance fundamentally mismatched to a noir-thriller mandate—no crime, no investigative unraveling, and period-drama aesthetics at odds with A24's contemporary sensibility and the dark tone required.","A Victorian romantic melodrama about the Dale family in a country house, centered on Lily's heartbreak when her fiancé Adolphus Crosbie jilts her for a woman of higher social standing. The novel explores themes of social ambition, disappointment, and class dynamics through domestic entanglement rather than crime or suspense.",5,"This is a Victorian domestic comedy-drama with romance and social satire, not a noir thriller with criminal intrigue or moral ambiguity.",35,"Country-house aesthetics and period costumes are visually rich, but the slow-paced social drama lacks the dark, atmospheric tension noir requires.",20,A24's 18-34 cinephile audience typically seeks contemporary or psychologically complex narratives; this earnest Victorian romance about jilted women reads as literary adaptation rather than insider perspective.,10,Trollope's novel is self-contained domestic drama with no mystery to uncover or world to expand; no sequel potential.,40,"A small-town/country estate setting is modest in scope and could fit a contained budget, but the requirement for period detail pushes toward costume-drama expense.",25,Trollope is canonically respected but not household-name recognition; The Small House at Allington is obscure even among Victorian literature fans.
sing-song__rossetti-christina__1872,A24,12.25,"Sing-song is fundamentally incompatible with the noir thriller mandate—it's lyric poetry with no plot, characters, or dark investigative tension.","Sing-song is a collection of lyric poems by Victorian poet Christina Rossetti, published in 1872, featuring whimsical, often melancholic verse about nature, childhood, and emotion rather than a narrative plot.",5,A collection of Victorian lyric poetry bears no resemblance to noir thriller conventions.,15,"While poetic imagery could inspire visual aesthetics, there's no narrative spine or dark thriller tone to adapt cinematically.",10,Victorian poetry's themes and sensibility diverge sharply from A24's 18-34 cinephile demographic and an 'insider uncovering' character arc.,5,A static poetry collection offers no plot mechanics or world-building scaffolding for sequels or expanded narratives.,25,"A poetry adaptation could be made at any budget, but the small-town thriller framing makes little sense for this source material.",45,"Christina Rossetti is a recognized Victorian literary figure, but Sing-song is not among her most famous works like 'Goblin Market.'"
briand-speech-competition-final-report-containing-the-french-text-of-the-speech__briand-aristide__1928,A24,4.55,"This is a non-fiction historical document, not a narrative work, making it fundamentally unsuitable for adaptation against A24's noir thriller mandate.","Not confidently recognized. This appears to be a historical document—a French-language speech competition report by French politician Aristide Briand from 1928—rather than a fictional narrative or novel with plot, characters, and themes adaptable to film.",5,"A historical speech document has no noir thriller elements, plot structure, or narrative tension.",5,"A competition report lacks cinematic visual storytelling, character arcs, or dramatic scenes to adapt.",2,A 1928 French political speech document has no insider protagonist or themes relevant to A24's 18-34 cinephile audience.,0,"A historical report offers no world-building, uncovering plotline, or sequel potential.",10,"While a small-town setting might fit budget constraints, this is not an adaptable fictional work at any scale.",15,"Aristide Briand is historically notable as a French statesman, but this specific competition report is obscure to general audiences."
the-violet-fairy-book-large-print__lang-andrew__1901,A24,28.25,"A fairy tale anthology is fundamentally misaligned with a dark noir thriller mandate—genre, tone, and character archetypes are all incompatible.","Andrew Lang's ""Violet Fairy Book"" (1901) is a collection of fairy tales and magical stories from various cultures, featuring fantasy adventures, enchantments, and folkloric themes rather than crime or noir narrative.",5,Fairy tale fantasy has virtually no overlap with noir thriller conventions.,60,"While fairy tales offer vibrant magical visuals, the whimsical tone directly contradicts the dark mood required.",15,A24's 18-34 cinephile audience expects sophisticated character studies; fairy tale protagonists lack the insider-detective archetype mandated.,20,Episodic fairy tales don't naturally support a mystery/uncovering narrative arc needed for sequels.,50,"Fantasy spectacle could fit mid-to-high A24 budgets, but small-town noir setting isn't the natural scale for this material.",65,"Andrew Lang's Fairy Books are historically significant classics, though more familiar to literary scholars than general audiences."
heraldos-negros__vallejo-cesar__unk,A24,15.75,"This modernist poetry collection is fundamentally misaligned with A24's noir thriller mandate, lacking narrative, characters, plot mechanics, and visual story potential.","Heraldos negros (The Black Heralds) is a 1918 poetry collection by Peruvian modernist poet César Vallejo, composed of lyric and social verse exploring themes of suffering, alienation, death, and human injustice rather than a narrative thriller with plot or characters.",5,Poetry collection bears no relation to noir thriller genre; lacks narrative plot and detective/crime elements entirely.,15,Abstract lyric poetry resists direct cinematic narrative adaptation and lacks the visual/dramatic machinery noir requires.,25,"Modernist poetry about existential suffering may engage college-educated cinephiles, but lacks the insider-protagonist character archetype and contemporary thriller appeal.",10,"Static thematic meditation offers no sequential story, mystery to uncover, or world-building foundation for sequels.",20,"Sparse, interior, non-narrative material would require expensive, speculative creative invention rather than contained adaptation.",60,"Vallejo is a canonical modernist poet recognized in literary/academic circles, though the general public is largely unfamiliar with his work."
the-birth-of-tragedy-or-hellenism-and-pessimism__nietzsche-friedrich-wilhelm__unk,A24,9.25,"This philosophical essay is fundamentally incompatible with a noir thriller mandate—it contains no plot, protagonist, crime, or small-town setting to adapt.","Nietzsche's philosophical essay exploring the origins of Greek tragedy and its relationship to Apollonian and Dionysian principles, arguing for the rebirth of tragedy through Wagnerian opera; this is a work of philosophical theory and criticism, not a narrative novel.",5,"This is academic philosophy, not a noir thriller narrative at all.",8,"While philosophically dense, it contains evocative concepts about art and human nature, but lacks plot or characters to dramatize visually.",3,"A24's cinephile audience might respect the intellectual content, but this offers no protagonist 'insider' character or relatable narrative lens for that demographic.",2,"This is a singular philosophical argument with no world, plot, or character arcs to expand into sequels.",15,A small-town setting requirement is irrelevant to a philosophical essay with no narrative geography.,72,"Nietzsche is widely known; this is one of his most famous early works, recognizable to educated audiences but not mainstream pop culture."
jugend-ohne-gott__horvath-odon-von__1938,A24,34.0,"This is a profound but deliberately non-genre-driven literary work that fundamentally misaligns with the noir thriller mandate; while thematically dark and visually adaptable, it lacks the mystery/crime elements, contemporary protagonist appeal, and franchise potential A24 would seek.","A 1938 novel by Hungarian writer Ödön von Horváth depicting the spiritual and moral decline of youth in Nazi-era Germany through the experiences of a schoolteacher and his students; a political allegory exploring corruption, conformity, and the loss of humanity in totalitarian society rather than a traditional noir thriller.",15,"This is a political allegory and literary tragedy, not a noir thriller with mystery or detective elements.",55,"The book's dark themes about moral decay are cinematically rich, but its power lies in psychological/philosophical content rather than visual noir aesthetics.",40,"The intellectual, historical critique may engage some cinephiles, but the protagonist is a schoolteacher navigating institutional systems rather than a relatable insider character for A24's core 18-34 audience.",20,"A self-contained historical novel with no inherent world-building or sequel potential; the 'uncovering' is internal moral awareness, not a plot engine for sequels.",65,"A small-town/school setting with intimate character focus fits A24's budget range, though the historical period (1930s Germany) adds production complexity.",25,"A respected literary work known to scholars and German literature students, but not a household name in mainstream or general audiences."
human-nature-and-conduct-an-introduction-to-social-psychology__dewey-john__1922,A24,8.45,This philosophical treatise on social psychology is fundamentally misaligned with A24's noir thriller mandate and has no viable adaptation potential as narrative cinema.,"This is a philosophical and sociological treatise on human behavior and social psychology by John Dewey, a seminal work in educational and social theory—not a noir thriller or narrative fiction.",5,A philosophical/academic treatise on social psychology has virtually no alignment with noir thriller genre conventions.,8,"Theoretical essays about human conduct lack narrative structure, characters, or visual drama required for cinematic adaptation.",10,A 1922 philosophical text on social theory would not resonate with A24's cinephile 18-34 demographic seeking character-driven insider narratives.,0,"A non-narrative academic work has no plot, world, or protagonist to expand into sequels or franchises.",15,"While a small-town setting could theoretically match budget constraints, the source material is not adaptable to any film scale.",45,"John Dewey is well-known in academic circles, but this specific 1922 theoretical work has minimal recognition outside philosophy/education departments."
